,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
397,cascas,PE,-7.4833,-78.8167,64.36,87,59,1.52,1621211218
398,general roca,AR,-39.0333,-67.5833,44.6,100,0,6.44,1621211278
399,meulaboh,ID,4.1363,96.1285,78.33,87,100,5.59,1621211278
400,grindavik,IS,63.8424,-22.4338,39.2,56,90,12.66,1621211279
401,sumbal,IN,34.2333,74.6333,55.53,79,96,2.15,1621211279
402,kiskunmajsa,HU,46.4903,19.74,54,93,40,4.61,1621211280
403,znamenskoye,RU,57.1281,73.8282,56.26,86,69,2.06,1621211280
404,kargasok,RU,59.0556,80.8572,45.64,89,100,2.91,1621211281
405,pemangkat,ID,1.1667,108.9667,79.25,87,99,4.25,1621211189
406,praia da vitoria,PT,38.7333,-27.0667,64.99,82,40,5.91,1621211281
407,pavlodar,KZ,52.3,76.95,60.8,67,0,4.47,1621211282
408,dehui,CN,44.5333,125.7,68,30,0,13.42,1621211282
409,ilave,PE,-16.0833,-69.6667,40.96,64,4,3.38,1621210997
410,imbituba,BR,-28.24,-48.6703,68,88,40,5.75,1621211283
411,poum,NC,-20.2333,164.0167,77.54,71,81,10.47,1621211283
412,touros,BR,-5.1989,-35.4608,75.2,94,0,4.61,1621211284
413,petatlan,MX,17.5167,-101.2667,89.6,62,1,6.33,1621211284
414,evensk,RU,61.95,159.2333,35.08,81,100,12.93,1621211284
415,kenai,US,60.5544,-151.2583,50,61,40,10.36,1621211268
416,richards bay,ZA,-28.783,32.0377,65.55,86,66,8.3,1621211285
417,beloha,MG,-25.1667,45.05,68.58,62,45,4.27,1621211286
418,ancud,CL,-41.8697,-73.8203,46.99,93,0,1.14,1621211286
419,west bay,KY,19.3667,-81.4167,82.4,89,40,4.61,1621211286
420,cortez,US,37.3489,-108.5859,78.8,9,1,6.91,1621211287
421,buraydah,SA,26.326,43.975,86,20,0,10.36,1621211287
422,miyako,JP,39.6367,141.9525,64.35,97,100,11.43,1621211288
423,dali,CN,25.7,100.1833,61.63,71,5,4,1621211288
424,cabedelo,BR,-6.9811,-34.8339,75.2,88,0,4.61,1621211289
425,taburi,PH,,,,,,,
426,miles city,US,46.4083,-105.8406,77,22,1,4.61,1621211289
427,korla,CN,41.7597,86.1469,61.79,39,58,4.88,1621211290
428,puerto baquerizo moreno,EC,-0.9,-89.6,74.91,84,12,9.64,1621211290
429,cihuatlan,MX,19.2366,-104.5651,86,74,1,23.02,1621211291
430,newberry,US,34.2746,-81.6187,71.01,73,95,5.57,1621211291
431,tadine,NC,-21.55,167.8833,76.46,68,67,9.84,1621211291
432,blagoveshchensk,RU,50.2667,127.5333,64.4,32,0,13.42,1621211292
433,north las vegas,US,36.1989,-115.1175,81,21,20,11.5,1621211292
434,kutum,SD,14.2,24.6667,74.62,6,66,6.55,1621211293
435,winslow,US,35.0242,-110.6974,78.8,8,1,25.32,1621211240
436,conde,BR,-7.2597,-34.9075,75.2,88,0,4.61,1621211293
437,hambantota,LK,6.1241,81.1185,77,100,20,3.44,1621211294
438,ust-maya,RU,60.4167,134.5333,46.44,51,100,12.12,1621211294
439,kinablangan,PH,7.6947,126.5503,82.26,79,76,5.5,1621211294
440,hanzhong,CN,33.0728,107.0303,60.93,72,100,1.83,1621211295
441,werda,BW,-25.2667,23.2833,54.23,55,20,7.63,1621211295
442,banda aceh,ID,5.5577,95.3222,81.37,79,99,6.53,1621211104
443,alugan,PH,12.2188,125.4808,82.02,86,100,10.42,1621211296
444,manokwari,ID,-0.8667,134.0833,78.87,84,100,2.77,1621211296
445,diamantino,BR,-14.4086,-56.4461,78.15,51,96,4.41,1621211297
446,esso,RU,55.9333,158.7,36.57,92,100,7.52,1621211297
447,shahrud,IR,36.4182,54.9763,64.18,47,24,1.99,1621211298
448,letka,RU,59.6011,49.4232,56.3,88,1,6.85,1621211298
449,juneau,US,58.3019,-134.4197,46.4,71,75,4.61,1621211176
450,varhaug,NO,58.6147,5.6457,46,39,98,8.66,1621211359
451,roma,AU,-26.5833,148.7833,55.81,34,3,11.36,1621211359
452,rabo de peixe,PT,37.8,-25.5833,64.4,100,75,9.22,1621211359
453,ryotsu,JP,38.0833,138.4333,66.2,100,75,17.27,1621211360
454,nouakchott,MR,18.0858,-15.9785,69.8,83,73,16.11,1621211328
455,the valley,AI,18.217,-63.0578,81,78,20,6.91,1621211361
456,wamba,CD,2.1484,27.9947,67.8,88,95,1.34,1621211361
457,klaksvik,FO,62.2266,-6.589,46.4,87,90,11.5,1621211361
458,adrar,DZ,25.75,-1,96.94,9,89,8.08,1621211362
459,labuhan,ID,-6.8844,112.2051,78.19,81,71,5.28,1621211362
460,tongchuan,CN,35.0806,109.0897,56.44,62,100,1.66,1621211363
461,pevek,RU,69.7008,170.3133,29.71,87,80,1.59,1621211363
462,rio grande,BR,-32.035,-52.0986,51.01,92,100,4.18,1621211363
463,khartoum,SD,15.5518,32.5324,84,19,10,6.26,1621211364
464,kearney,US,40.6995,-99.0815,68,82,90,13.8,1621211358
465,petlawad,IN,23,74.8,82.72,59,100,8.68,1621211364
466,providencia,MX,28.7167,-111.5833,88,27,0,8.99,1621211365
467,vardo,NO,70.3705,31.1107,36.43,96,100,19.48,1621211365
468,pringsewu,ID,-5.3582,104.9744,75.65,95,99,1.54,1621211366
469,charters towers,AU,-20.1,146.2667,66.24,39,0,8.5,1621211366
470,waitati,NZ,-45.75,170.5667,57,32,13,8.99,1621211367
471,pochutla,MX,15.7432,-96.4661,86,66,75,6.91,1621211367
472,neuquen,AR,-38.9516,-68.0591,44.6,100,0,6.78,1621211337
473,since,CO,9.2439,-75.1468,78.31,85,98,11.77,1621211368
474,ossora,RU,59.2353,163.0719,36.14,93,85,6.17,1621211368
475,artyk,RU,,,,,,,
476,lerwick,GB,60.1545,-1.1494,42.8,93,78,6.91,1621211369
477,bengkulu,ID,-3.8004,102.2655,77,89,100,3.62,1621211369
478,codrington,AG,,,,,,,
479,denpasar,ID,-8.65,115.2167,80.6,89,40,14.97,1621211109
480,fortuna foothills,US,32.6578,-114.4119,88,15,1,14.97,1621211370
481,mashhad,IR,36.297,59.6062,60.8,36,0,4.61,1621211370
482,changying,CN,52.8733,123.3213,45.54,39,23,11.5,1621211371
483,phan thiet,VN,10.9333,108.1,81.99,82,84,4.76,1621211334
484,fort nelson,CA,58.8053,-122.7002,44.6,93,75,8.05,1621211372
485,lakes entrance,AU,-37.8811,147.981,57,70,88,3,1621211372
486,mineral wells,US,32.8085,-98.1128,75.99,73,20,16.11,1621211372
487,ape,LV,57.5393,26.6929,51.76,95,33,6.98,1621211373
488,teknaf,BD,20.8624,92.3058,81.75,86,64,5.75,1621211373
489,maryborough,AU,-25.5333,152.7,67.91,48,0,4.72,1621211374
490,bani walid,LY,31.7566,13.9942,68.61,27,44,5.55,1621211374
491,xichang,CN,27.8964,102.2634,65.66,66,99,3.24,1621211374
492,inhambane,MZ,-23.865,35.3833,69.33,79,1,8.93,1621211375
493,toppenish,US,46.3774,-120.3087,90,20,3,4.92,1621211375
494,clinton,US,42.587,-82.9199,66.99,52,75,4.61,1621211324
495,gao,ML,16.6362,1.637,92.91,8,6,7.07,1621211376
496,poltavka,RU,54.3663,71.7632,65.41,61,58,6.4,1621211377
497,illela,NE,14.4605,5.2437,95,10,0,6.91,1621211377
498,san cosme y damian,PY,-27.3167,-56.35,68,77,0,2.3,1621211377
499,gambela,ET,8.25,34.5833,73.26,80,91,3.2,1621211378
500,poptun,GT,16.3311,-89.4169,75.87,74,100,7.36,1621211378
501,vacaville,US,38.3566,-121.9877,71.01,46,1,29.93,1621211439
502,ercis,TR,39.0287,43.3586,66.2,22,40,13.8,1621211439
503,kotar,IN,24.7167,80.9833,94.01,31,58,6.06,1621211440
504,tres arroyos,AR,-38.3739,-60.2798,48.54,87,0,4.5,1621211440
505,basqal,AZ,40.7552,48.391,55.72,39,44,6.73,1621211441
506,ponazyrevo,RU,58.3578,46.3142,54.88,93,0,4.76,1621211441
507,samandag,TR,36.0842,35.9771,66.2,88,0,16.11,1621211441
508,khandyga,RU,62.6667,135.6,50.88,58,100,2.35,1621211442
509,sorvag,FO,,,,,,,
510,verkhoyansk,RU,67.5447,133.385,54.07,39,0,6.02,1621211442
511,chitrakonda,IN,18.1167,82.0833,78.78,77,93,2.73,1621211443
512,penticton,CA,49.4806,-119.5858,82.99,23,75,8.05,1621211443
513,puerto narino,CO,-3.7703,-70.3831,71.6,100,90,4.61,1621211444
514,plettenberg bay,ZA,-34.0527,23.3716,53.6,77,6,8.14,1621211444
515,waingapu,ID,-9.6567,120.2641,81.7,66,41,14.18,1621211445
516,luang prabang,LA,19.8856,102.1347,75.2,94,20,0.78,1621211445
517,hatillo de loba,CO,8.9564,-74.0782,78.76,87,100,4.54,1621211445
518,darab,IR,28.7519,54.5444,73.8,24,0,3.56,1621211446
519,iisalmi,FI,63.5592,27.1907,51.8,100,94,2.3,1621211446
520,fortuna,US,40.5982,-124.1573,53.01,100,90,12.66,1621211447
521,chokwe,MZ,-24.5333,32.9833,70.21,87,8,10.2,1621211447
522,hobyo,SO,5.3505,48.5268,80.24,82,100,22.57,1621211447
523,srednekolymsk,RU,67.45,153.6833,37.4,88,46,7.56,1621211448
524,cangucu,BR,-31.395,-52.6756,51.01,92,94,1.34,1621211448
525,toliary,MG,,,,,,,
526,buin,PG,,,,,,,
527,nichinan,JP,31.6,131.3667,82.4,74,75,2.3,1621211449
528,kloulklubed,PW,7.0419,134.2556,80.74,84,100,17.96,1621211450
529,ternate,ID,0.8,127.4,84.16,71,96,1.86,1621211450
530,troitsko-pechorsk,RU,62.7084,56.1964,57.74,87,7,7.07,1621211450
531,eureka,US,40.8021,-124.1637,53.01,87,90,6.91,1621211451
532,opuwo,NA,-18.0607,13.84,60.62,40,57,0.67,1621211451
533,lehigh acres,US,26.6254,-81.6248,78.8,53,1,14.97,1621211452
534,dalianwan,CN,39.0286,121.695,69.8,40,0,8.95,1621211452
535,lavrentiya,RU,65.5833,-171,32.02,80,93,1.32,1621211453
536,sedelnikovo,RU,,,,,,,
537,cantaura,VE,9.3057,-64.3584,82.2,50,82,12.66,1621211453
538,krasnoselkup,RU,65.7,82.4667,29.7,60,6,5.5,1621211454
539,cloquet,US,46.7216,-92.4594,71.01,30,1,9.22,1621211454
540,north bend,US,43.4065,-124.2243,55,87,90,17.27,1621211455
541,port macquarie,AU,-31.4333,152.9167,63,43,0,1.01,1621211455
542,geresk,AF,,,,,,,
543,pouebo,NC,-20.4,164.5667,80.01,70,64,7.74,1621211456
544,dicabisagan,PH,17.0818,122.4157,86.95,66,9,6.02,1621211456
545,alpena,US,45.0617,-83.4327,57.2,62,1,5.75,1621211158
546,uruzgan,AF,32.8333,66,63.03,26,0,2.53,1621211457
547,diu,IN,20.7141,70.9822,86.32,59,100,28.88,1621211289
548,thayetmyo,MM,19.3167,95.1833,90.34,53,15,4.47,1621211457
549,raga,SD,,,,,,,
550,general pico,AR,-35.6566,-63.7568,53.71,72,100,3.2,1621211458
551,brae,GB,60.3964,-1.353,42.8,93,96,6.91,1621211458
552,morristown,US,36.214,-83.2949,66.2,68,90,4.61,1621211459
553,kirensk,RU,57.7853,108.1119,38.98,34,9,6.11,1621211459
554,horsham,AU,-36.7167,142.2,54.64,76,100,4.32,1621211460
555,colares,PT,38.7992,-9.4469,60.01,81,43,14.52,1621211460
556,woodstock,CA,43.1334,-80.7497,66.2,34,23,3.44,1621211414
557,atar,MR,20.5169,-13.0499,85.59,17,92,6.58,1621211521
558,portland,AU,-38.3333,141.6,57.61,67,17,5.26,1621211521
559,san jeronimo,MX,29.3707,-110.79,89.01,13,0,10,1621211522
560,bambanglipuro,ID,-7.95,110.2833,80.62,77,100,7.67,1621211522
561,carahue,CL,-38.7,-73.1667,42.8,100,100,1.14,1621211523
562,jinchengjiang,CN,,,,,,,
563,igrim,RU,63.1906,64.4162,51.28,84,97,5.44,1621211523
564,golkoy,TR,40.6875,37.6178,60.8,88,75,6.91,1621211524
565,sal rei,CV,16.1833,-22.9167,69.8,83,40,11.5,1621211524
566,belaya gora,RU,68.5333,146.4167,37.08,77,100,11.36,1621211525
567,indiana,US,40.0003,-86.2503,69.8,52,90,3.44,1621211525
568,innisfail,AU,-17.5333,146.0333,72.82,66,100,10.13,1621211525
569,langsa,ID,4.4683,97.9683,80.94,80,95,2.66,1621211526
570,mattru,SL,7.6244,-11.8332,74.62,97,100,0.58,1621211526
571,bata,GQ,1.8639,9.7658,77,100,20,2.55,1621211527
572,grand gaube,MU,-20.0064,57.6608,75.99,73,55,8.01,1621211527
573,odzaci,RS,45.5067,19.2611,53.6,94,0,4.61,1621211528
574,jiaocheng,CN,24.6774,116.1389,85.6,67,92,3.18,1621211528
575,hami,CN,42.8,93.45,70.77,24,96,1.72,1621211528
576,bad hofgastein,AT,47.1667,13.1,46,94,100,3,1621211529
577,itarema,BR,-2.9248,-39.9167,76.28,78,58,8.16,1621211529
578,gayeri,BF,12.6497,0.4931,92.98,29,100,8.68,1621211530
579,buochs,CH,46.974,8.4228,48.2,87,75,4.61,1621211530
580,high level,CA,58.5169,-117.136,53.6,71,90,5.75,1621211530
581,gamba,GA,-2.65,10,77.63,87,100,2.24,1621211531
582,los llanos de aridane,ES,28.6585,-17.9182,68,83,75,13.8,1621211531
583,lata,SB,,,,,,,
